N,P,K,temperature,humidity,ph,rainfall,label,irrigation_requirement
91.22,56.92,41.05,21.34,75.43,7.01,262.03,rice,4.1
94.08,40.32,37.05,20.15,80.26,6.68,239.22,rice,2.8
88.75,57.6,40.22,25.14,86.75,6.29,262.21,rice,4.11
97.25,58.74,37.21,29.27,82.38,6.02,245.91,rice,5.46
99.6,47.32,39.93,26.33,78.6,5.65,212.89,rice,4.3
82.56,38.8,37.08,26.41,77.73,6.19,289.68,rice,5.94
89.48,51.69,37.58,21.92,75.61,5.84,227.86,rice,3.57
83.54,37.22,36.81,24.61,78.1,6.23,250.34,rice,4.58
93.81,35.98,46.99,26.28,76.23,7.25,292.09,rice,6.1
81.22,41.92,47.09,27.48,77.77,5.92,237.05,rice,5.21
89.69,50.46,40.53,24.63,86.21,5.57,225.24,rice,3.27
94.27,57.38,42.68,25.32,76.61,6.39,253.26,rice,5.0
84.85,41.73,40.66,20.2,79.83,5.92,232.75,rice,2.73
82.4,57.26,43.9,26.79,86.84,6.5,208.69,rice,3.53
90.74,49.67,46.18,24.32,76.91,6.07,236.31,rice,4.33
92.92,49.27,40.34,29.87,84.09,5.97,210.18,rice,4.75
83.06,41.15,37.41,21.87,79.28,5.85,289.68,rice,4.43
81.6,48.11,41.16,29.82,76.68,6.3,296.95,rice,7.22
97.31,55.43,38.87,21.71,85.03,7.36,255.68,rice,3.12
91.43,42.0,46.54,21.87,79.86,6.35,250.76,rice,3.59
84.85,37.87,44.16,22.89,83.72,5.81,248.11,rice,3.46
65.98,31.04,36.73,23.34,51.27,7.48,132.24,maize,4.52
74.3,35.09,43.63,29.6,61.91,6.44,141.18,maize,5.51
60.47,48.59,46.61,31.65,52.49,6.96,193.83,maize,8.12
55.44,31.33,44.82,27.74,66.84,5.78,179.53,maize,5.23
56.05,33.27,33.29,30.15,63.3,6.55,135.88,maize,5.43
76.32,37.85,46.33,26.39,57.54,6.43,130.14,maize,4.77
72.43,40.05,34.64,31.0,57.68,6.59,190.65,maize,7.34
68.73,32.34,48.8,28.28,56.7,5.78,179.4,maize,6.4
68.6,40.67,47.88,29.89,53.03,6.12,124.85,maize,6.16
72.32,30.67,41.4,29.62,67.54,6.18,182.13,maize,5.78
53.32,46.93,32.55,25.97,65.95,5.8,122.93,maize,3.66
71.67,44.4,42.82,28.94,60.85,6.0,134.57,maize,5.29
55.45,48.17,41.67,26.01,59.24,7.39,115.34,maize,4.19
67.59,40.12,42.23,22.18,67.44,7.36,156.51,maize,3.04
70.9,48.45,44.14,23.53,61.53,6.71,142.41,maize,3.75
72.09,48.69,48.51,26.51,52.26,7.47,183.89,maize,6.4
53.74,48.42,47.4,27.19,61.83,6.3,105.48,maize,4.08
60.06,46.06,30.09,25.33,57.96,6.57,191.99,maize,5.64
60.39,36.94,44.75,26.52,54.49,6.4,114.09,maize,4.79
55.29,39.97,38.38,31.15,57.25,6.66,163.23,maize,6.88
50.39,43.27,33.56,31.61,52.97,6.33,108.53,maize,6.36
79.91,40.04,41.91,22.67,65.0,5.92,189.81,maize,4.1
56.15,33.81,30.73,26.72,61.3,5.63,177.55,maize,5.44
63.6,40.49,38.82,26.01,61.19,5.81,118.19,maize,4.05
75.85,48.92,37.47,24.71,62.88,6.32,102.54,maize,3.18
54.68,44.32,43.18,22.27,54.44,5.96,167.19,maize,4.58
50.59,32.08,46.0,23.79,63.05,5.98,109.94,maize,3.03
57.3,44.45,47.11,30.3,57.94,6.84,120.5,maize,5.71
58.79,47.93,30.26,22.86,54.16,5.55,118.14,maize,3.8
67.49,38.43,47.85,30.17,56.84,6.02,137.97,maize,6.13
67.71,35.36,42.48,26.09,61.04,6.37,129.45,maize,4.31
78.45,45.27,32.8,30.68,59.75,7.29,179.99,maize,6.83
62.76,30.45,35.37,27.42,62.67,6.02,113.94,maize,4.24
75.05,49.69,40.51,23.72,55.45,5.54,191.43,maize,5.4
53.53,41.53,35.48,27.54,63.03,7.16,120.64,maize,4.37
50.33,32.74,48.0,30.74,61.95,6.7,166.5,maize,6.36
55.26,48.29,38.38,25.83,60.38,5.59,116.63,maize,4.04
72.14,31.66,42.06,24.45,57.79,6.08,135.57,maize,4.27
71.57,35.94,41.33,26.76,63.27,7.37,173.26,maize,5.17
56.45,30.62,35.25,27.95,51.03,6.49,159.68,maize,6.48
60.03,45.42,32.13,22.75,64.56,6.49,168.84,maize,3.75
63.04,34.93,46.38,29.99,63.89,6.04,159.02,maize,5.79
60.83,31.83,48.35,23.37,69.0,6.39,118.51,maize,2.48
66.26,47.46,44.64,30.07,63.18,6.88,184.92,maize,6.4
57.49,39.79,34.42,31.88,68.88,5.58,170.56,maize,6.09
77.76,33.61,41.36,31.15,50.68,6.89,129.73,maize,6.87
77.73,49.42,48.89,26.74,67.24,7.19,131.91,maize,3.94
74.87,30.74,41.93,24.3,52.41,5.65,169.63,maize,5.44
60.2,44.5,31.31,25.15,60.79,7.08,131.88,maize,4.1
68.78,47.72,42.32,24.33,50.49,7.24,102.13,maize,4.29
76.24,40.58,48.78,29.99,69.96,6.2,176.72,maize,5.53
62.06,39.6,42.55,30.74,69.68,7.04,141.78,maize,5.09
62.64,44.75,34.78,23.1,57.09,6.07,129.63,maize,3.81
57.01,30.84,30.36,31.88,58.56,6.27,167.96,maize,7.07
56.55,49.0,45.73,22.89,58.35,7.26,194.47,maize,4.92
64.02,42.27,33.34,31.91,54.63,7.39,164.96,maize,7.41
68.23,40.25,34.61,23.77,54.41,5.87,177.96,maize,5.25
60.5,31.16,49.38,30.84,68.56,7.49,117.39,maize,4.74
61.89,45.16,43.92,23.54,66.32,5.95,122.38,maize,2.88
66.11,41.86,41.6,22.91,67.55,6.03,112.95,maize,2.38
76.66,49.11,47.24,30.1,63.1,6.6,108.7,maize,4.89
62.25,37.45,35.2,29.23,59.92,5.66,122.02,maize,5.22
70.5,31.52,47.02,26.95,59.61,6.68,182.47,maize,5.77
60.43,43.56,41.31,24.67,67.57,7.09,165.85,maize,3.96
75.52,47.35,44.17,30.37,63.95,6.86,161.86,maize,5.95
72.58,33.17,47.62,30.72,50.58,7.15,112.89,maize,6.41
60.05,44.87,33.22,30.18,66.64,6.51,100.64,maize,4.4
58.61,42.34,49.62,28.32,55.2,6.77,154.0,maize,6.06
73.4,32.14,45.22,27.41,69.26,6.18,163.26,maize,4.56
77.96,32.05,48.74,28.88,51.36,6.1,170.82,maize,6.94
52.02,41.64,36.92,28.21,50.91,7.24,197.35,maize,7.32
79.07,44.99,32.6,29.58,50.49,5.54,132.36,maize,6.47
64.66,45.41,43.67,26.46,55.47,7.49,142.62,maize,5.24
63.54,33.27,45.9,28.94,54.42,5.66,168.05,maize,6.6
69.64,35.47,49.02,23.51,58.65,7.39,141.97,maize,4.03
69.16,37.95,35.48,31.84,58.19,7.29,123.0,maize,6.19
56.39,30.62,43.03,25.69,67.29,6.45,196.82,maize,4.91
55.57,47.37,45.53,29.71,66.9,7.02,162.62,maize,5.48
53.94,30.65,48.42,28.17,65.93,6.46,111.73,maize,4.09
53.76,43.71,38.61,24.01,59.83,5.63,158.2,maize,4.38
58.07,45.95,36.21,26.55,50.23,5.64,139.25,maize,5.73
64.4,42.0,35.83,28.95,67.2,7.06,103.96,maize,4.04
64.42,32.1,34.84,31.87,52.85,6.5,161.82,maize,7.51
71.07,41.19,30.2,25.26,60.35,5.68,135.06,maize,4.25
51.0,31.57,37.94,23.33,61.35,6.88,180.06,maize,4.46
56.0,33.35,32.09,28.36,64.13,5.56,193.62,maize,5.97
51.56,40.83,44.18,30.71,64.28,7.1,133.95,maize,5.46
74.44,31.6,47.9,27.48,66.35,6.4,164.36,maize,4.9
65.79,44.63,31.63,22.6,54.94,5.82,187.18,maize,5.03
56.58,49.52,36.74,23.82,65.79,6.82,149.82,maize,3.56
66.66,44.38,34.57,31.96,69.5,6.8,119.95,maize,5.04
70.41,31.44,30.61,24.58,59.25,7.24,172.72,maize,4.9
72.28,38.51,36.92,25.71,69.75,5.58,186.7,maize,4.47
67.36,38.77,44.51,26.87,67.47,7.3,142.17,maize,4.16
58.3,41.85,48.25,24.11,62.46,6.76,173.31,maize,4.45
53.95,44.32,48.18,23.8,54.75,7.44,118.1,maize,4.03
75.63,39.85,34.94,30.71,58.91,6.53,135.92,maize,6.04
67.79,33.27,37.82,31.69,55.16,6.81,132.52,maize,6.64
73.2,32.62,49.4,26.54,54.72,5.65,116.98,maize,4.83
65.59,36.74,46.58,26.31,54.97,6.73,170.68,maize,5.81
25.01,45.03,40.73,25.36,59.96,6.95,110.65,chickpea,3.83
44.17,57.56,57.37,20.06,51.68,6.54,63.43,chickpea,2.12
35.94,68.1,40.79,19.22,56.78,7.87,78.97,chickpea,1.67
35.22,41.25,42.97,27.87,64.48,6.01,117.11,chickpea,4.25
39.17,66.04,49.09,23.16,57.33,7.33,68.38,chickpea,2.58
20.9,49.24,54.09,20.02,60.1,7.94,65.63,chickpea,1.31
40.18,53.31,57.36,19.77,60.39,7.68,116.68,chickpea,2.23
40.5,54.92,52.36,26.69,58.56,6.06,115.86,chickpea,4.47
40.69,60.3,44.31,24.59,55.91,7.3,66.4,chickpea,3.11
39.74,69.98,40.96,27.77,56.1,7.74,106.94,chickpea,4.86
37.01,62.15,57.57,22.04,54.91,7.34,108.47,chickpea,3.29
42.87,63.93,48.71,26.18,51.8,7.09,60.35,chickpea,3.88
29.74,50.99,47.92,24.95,55.83,6.9,74.25,chickpea,3.39
31.2,46.82,41.46,24.03,60.02,7.24,87.81,chickpea,2.96
31.39,65.9,50.38,22.79,50.38,6.68,82.81,chickpea,3.46
31.96,57.41,50.67,24.08,61.47,7.63,103.09,chickpea,3.14
48.67,40.55,43.92,18.08,59.71,7.8,74.61,chickpea,0.94
47.81,41.81,58.69,21.52,51.52,6.97,75.41,chickpea,2.81
28.55,49.22,56.06,23.39,54.67,7.22,102.97,chickpea,3.61
28.18,52.41,42.44,19.81,60.22,6.36,91.51,chickpea,1.75
41.27,43.21,51.35,20.57,64.44,6.97,108.36,chickpea,1.89
36.51,41.3,52.66,27.51,59.02,7.64,113.05,chickpea,4.61
26.84,46.36,52.22,22.11,62.6,7.8,81.21,chickpea,2.0
27.11,63.42,45.5,26.23,56.36,7.34,65.73,chickpea,3.55
38.72,53.55,51.73,19.68,61.05,7.73,73.0,chickpea,1.26
22.87,40.71,52.84,24.07,58.2,6.46,83.45,chickpea,3.07
37.83,54.9,59.76,19.36,60.43,6.81,85.69,chickpea,1.48
41.53,60.77,59.83,19.28,51.56,7.45,94.7,chickpea,2.52
28.22,42.38,41.71,26.94,52.88,6.65,73.6,chickpea,4.27
30.65,42.08,50.38,18.68,62.01,6.47,92.4,chickpea,1.25
46.4,59.53,50.66,21.24,55.0,7.34,119.65,chickpea,3.27
39.86,56.73,54.61,22.65,50.9,7.12,117.46,chickpea,4.05
25.26,60.7,44.02,23.36,51.45,6.9,105.37,chickpea,3.97
30.43,59.95,55.91,27.27,53.52,6.8,69.14,chickpea,4.21
49.77,67.81,50.8,26.42,57.81,7.25,65.35,chickpea,3.45
42.66,43.83,56.52,25.82,60.63,6.07,78.19,chickpea,3.25
27.89,50.8,41.75,27.37,58.31,6.61,83.82,chickpea,4.06
33.42,58.02,50.31,27.19,57.45,7.98,111.09,chickpea,4.63
26.26,67.92,42.33,26.17,55.71,7.76,112.08,chickpea,4.52
44.18,63.7,46.09,18.81,56.04,6.35,101.7,chickpea,2.07
30.38,69.27,52.82,26.22,51.99,7.72,115.37,chickpea,4.98
34.61,58.19,55.3,19.75,57.54,6.8,68.78,chickpea,1.55
31.03,42.05,40.52,19.35,64.45,7.1,117.95,chickpea,1.72
32.97,49.35,50.12,22.4,51.58,7.28,72.96,chickpea,3.02
38.59,59.51,43.04,18.61,61.71,6.92,63.49,chickpea,0.68
49.85,41.73,53.9,27.84,53.59,6.28,67.28,chickpea,4.34
29.1,43.03,53.84,18.62,57.64,7.99,108.84,chickpea,2.0
38.46,49.19,52.48,23.27,56.39,6.26,113.2,chickpea,3.61
33.49,45.84,47.36,22.14,62.41,7.47,106.16,chickpea,2.52
20.33,52.48,49.63,18.19,53.9,7.52,68.23,chickpea,1.43
36.06,46.46,40.24,20.41,64.64,7.6,117.57,chickpea,2.01
34.64,43.29,50.96,22.54,62.67,6.2,89.29,chickpea,2.28
24.5,49.74,54.75,22.76,55.64,6.79,87.57,chickpea,3.02
43.55,66.76,59.11,25.87,54.73,7.38,86.26,chickpea,4.01
27.64,65.23,40.77,27.02,56.92,7.27,99.56,chickpea,4.4
46.85,59.1,52.28,18.67,57.78,6.3,104.25,chickpea,1.91
35.37,60.41,40.83,18.85,60.74,6.14,64.28,chickpea,0.87
20.36,68.7,54.75,21.53,54.45,6.7,106.48,chickpea,3.14
39.84,45.56,43.48,18.98,59.9,7.53,75.9,chickpea,1.22
20.63,42.47,59.36,20.95,61.54,7.25,82.92,chickpea,1.79
26.17,43.64,52.3,25.75,59.66,7.06,62.52,chickpea,3.01
49.05,63.96,45.86,27.8,59.03,7.16,104.88,chickpea,4.53
44.35,59.69,42.56,21.38,63.92,6.45,82.33,chickpea,1.67
32.96,53.18,52.26,27.43,53.61,6.24,71.85,chickpea,4.31
46.61,59.37,45.72,26.16,62.92,7.69,115.14,chickpea,3.86
27.57,62.65,49.21,26.42,60.93,7.55,99.37,chickpea,3.82
25.32,56.35,59.69,27.37,50.65,6.33,67.9,chickpea,4.51
41.78,64.53,44.27,23.06,62.61,7.47,92.53,chickpea,2.51
37.71,55.25,45.95,23.65,60.33,7.75,98.18,chickpea,3.03
42.83,44.8,49.23,18.09,53.7,7.45,119.51,chickpea,2.45
22.98,52.04,56.0,20.04,58.33,7.47,96.96,chickpea,2.12
25.64,50.66,55.68,23.54,50.08,7.52,62.12,chickpea,3.3
42.37,46.07,59.16,21.68,54.9,6.3,78.34,chickpea,2.58
46.3,69.89,47.37,22.49,60.83,7.77,95.58,chickpea,2.57
31.75,52.38,53.91,18.03,59.29,6.71,107.65,chickpea,1.63
22.79,57.65,49.62,24.42,50.97,7.16,93.69,chickpea,4.1
36.82,58.1,53.53,26.05,54.05,7.65,89.9,chickpea,4.21
22.31,41.76,46.68,25.85,60.62,7.58,91.04,chickpea,3.51
33.21,44.42,46.56,22.34,51.33,6.44,95.89,chickpea,3.49
42.07,69.95,58.66,24.43,56.32,7.27,107.14,chickpea,3.84
23.55,52.3,56.8,21.84,58.58,7.18,71.07,chickpea,2.12
30.87,50.04,40.52,18.24,62.48,6.55,91.08,chickpea,1.05
28.96,68.22,45.19,22.3,63.09,7.68,71.17,chickpea,1.8
44.08,53.75,49.66,19.33,51.21,7.46,89.79,chickpea,2.48
33.11,61.89,55.31,19.59,59.15,6.27,105.08,chickpea,2.06
39.71,68.7,41.38,18.57,54.23,6.52,74.82,chickpea,1.64
47.19,47.49,45.44,25.59,56.75,7.55,63.92,chickpea,3.28
34.63,41.01,41.25,27.06,52.09,7.06,84.67,chickpea,4.6
30.42,67.0,40.44,24.64,64.45,7.12,116.21,chickpea,3.27
21.57,52.56,45.2,25.31,64.72,6.51,99.25,chickpea,3.11
25.94,56.96,49.28,27.72,59.13,6.7,66.85,chickpea,3.74
24.54,46.76,45.02,26.51,58.42,7.05,66.89,chickpea,3.45
45.8,61.68,41.35,25.08,58.15,6.16,87.5,chickpea,3.46
34.54,44.97,58.91,26.5,60.04,6.92,84.71,chickpea,3.64
39.53,56.36,41.25,23.13,62.1,6.92,63.12,chickpea,1.99
43.59,46.04,45.17,19.65,54.95,7.51,91.16,chickpea,2.22
26.15,66.33,57.59,26.71,53.58,6.9,119.1,chickpea,5.04
43.16,40.82,41.3,22.64,63.64,7.08,89.87,chickpea,2.23
23.16,59.7,56.44,21.8,61.63,7.93,72.23,chickpea,1.82
35.7,48.61,55.86,23.78,59.52,7.6,83.76,chickpea,2.86
38.3,40.66,28.16,23.57,65.87,5.82,111.43,coffee,2.71
38.12,35.54,44.67,19.13,54.04,5.68,113.64,coffee,2.61
33.09,33.04,33.81,22.92,51.67,6.38,108.22,coffee,3.87
30.1,49.34,33.36,25.87,63.36,6.13,69.96,coffee,2.83
37.64,38.55,28.24,18.1,61.2,6.03,103.16,coffee,1.37
37.81,31.59,39.63,19.5,67.16,6.32,92.45,coffee,0.98
34.2,36.29,34.42,24.57,59.19,5.86,89.65,coffee,3.25
36.56,36.7,28.48,23.7,66.52,5.6,74.39,coffee,1.94
22.84,36.96,34.01,23.99,63.02,6.12,81.14,coffee,2.52
36.83,39.43,44.58,23.07,52.53,6.18,79.51,coffee,3.26
33.73,31.39,28.5,24.85,54.54,6.34,76.76,coffee,3.53
32.86,43.88,35.25,20.44,54.25,5.53,78.24,coffee,2.27
33.06,48.77,42.42,24.13,65.77,6.16,75.62,coffee,2.17
38.14,43.41,36.21,18.89,58.94,5.96,111.87,coffee,2.01
30.93,37.61,44.54,18.89,58.45,5.54,104.39,coffee,1.91
38.36,35.6,42.17,20.34,68.22,6.25,108.29,coffee,1.45
20.36,49.26,39.53,20.44,66.59,5.78,112.37,coffee,1.72
22.25,44.07,35.81,18.77,54.84,5.51,88.13,coffee,1.91
26.03,41.97,30.94,20.4,64.86,5.55,114.17,coffee,1.92
37.05,43.36,36.86,25.14,53.71,5.58,74.37,coffee,3.66
35.89,30.69,36.66,25.96,67.11,6.02,63.82,coffee,2.35
36.63,41.98,27.3,18.75,68.19,6.17,109.76,coffee,1.0
37.58,41.44,35.35,21.44,56.34,5.93,106.43,coffee,2.93
32.04,47.85,33.87,22.86,62.63,6.09,102.16,coffee,2.64
24.75,40.25,27.08,21.08,59.75,6.15,117.03,coffee,2.69
32.01,44.87,35.13,23.07,51.42,5.75,81.71,coffee,3.41
29.45,30.91,27.8,20.21,69.43,5.83,88.92,coffee,0.9
23.92,42.22,30.61,19.66,60.33,5.51,60.46,coffee,1.07
24.38,30.73,27.16,20.71,66.05,6.07,90.76,coffee,1.42
25.87,48.64,32.94,18.7,62.34,5.61,80.71,coffee,0.99
30.15,47.48,34.87,23.62,69.86,5.63,76.48,coffee,1.63
27.89,38.44,33.22,25.26,64.28,6.11,78.56,coffee,2.72
36.48,49.1,41.42,18.01,62.73,5.55,75.46,coffee,0.64
21.19,42.08,38.73,18.92,57.68,5.96,82.14,coffee,1.55
22.42,38.38,40.02,18.57,51.6,5.85,116.5,coffee,2.74
33.37,43.57,32.24,22.75,50.2,6.14,114.8,coffee,4.1
32.25,47.47,39.48,18.96,68.05,5.57,92.04,coffee,0.73
22.84,30.23,33.44,20.36,59.72,6.08,62.62,coffee,1.39
22.46,41.17,31.86,23.83,63.05,6.35,101.55,coffee,2.88
28.6,43.46,30.51,20.45,65.78,5.95,107.9,coffee,1.72
36.45,47.15,43.33,21.45,56.38,6.08,82.27,coffee,2.44
32.02,44.11,38.77,21.0,53.34,5.93,68.56,coffee,2.34
37.8,36.92,28.09,18.2,62.92,6.14,80.44,coffee,0.78
21.43,38.19,31.22,23.42,62.12,5.86,73.07,coffee,2.28
39.76,39.08,38.77,19.12,59.71,5.53,90.33,coffee,1.57
39.28,37.68,25.78,18.25,57.76,5.66,61.4,coffee,0.93
35.12,39.17,30.78,25.2,52.32,6.46,78.84,coffee,3.9
37.77,42.06,41.53,25.87,55.77,6.46,83.37,coffee,3.85
27.71,36.81,35.83,19.23,61.07,6.04,105.71,coffee,1.78
36.67,38.81,31.05,20.07,53.89,5.56,80.55,coffee,2.24
25.4,49.33,36.15,20.78,61.61,5.64,86.64,coffee,1.81
32.52,39.78,33.04,25.95,67.61,6.12,94.16,coffee,2.91
32.41,34.03,32.9,18.32,59.51,6.04,73.66,coffee,1.02
39.28,48.19,39.44,22.27,67.4,5.63,107.43,coffee,2.09
22.5,45.88,30.52,25.02,68.88,5.65,87.76,coffee,2.37
39.62,39.67,42.27,22.71,57.51,5.79,72.19,coffee,2.51
35.24,37.73,35.23,21.94,61.55,6.37,118.84,coffee,2.8
28.15,46.55,40.29,22.59,69.12,5.7,66.56,coffee,1.2
37.08,38.78,41.94,25.14,51.25,6.38,86.9,coffee,4.16
30.21,42.53,43.53,18.15,59.54,6.19,103.36,coffee,1.56
33.85,32.69,30.99,20.87,66.09,5.78,72.64,coffee,1.1
39.15,30.18,44.96,23.41,66.57,5.79,60.86,coffee,1.58
34.76,46.68,39.81,19.14,65.07,6.27,99.51,coffee,1.23
35.32,46.92,37.27,18.71,59.75,5.58,84.45,coffee,1.33
28.14,31.32,31.98,18.89,66.16,6.45,64.34,coffee,0.34
39.1,40.45,30.99,18.61,60.01,6.29,102.43,coffee,1.63
21.0,31.46,33.06,20.36,54.65,5.78,108.21,coffee,2.81
38.58,38.1,43.12,20.57,59.53,5.73,98.43,coffee,2.19
39.58,42.07,32.16,23.18,52.46,6.39,90.19,coffee,3.51
28.99,41.72,37.5,18.57,63.65,5.74,102.84,coffee,1.26
36.45,46.08,36.05,22.16,52.86,6.28,76.28,coffee,2.89
29.93,35.69,27.68,23.04,51.09,6.25,79.06,coffee,3.38
20.0,40.22,25.94,20.21,64.14,5.56,110.36,coffee,1.86
20.08,34.94,39.82,20.53,52.04,5.86,76.22,coffee,2.48
36.85,36.27,40.78,25.13,58.68,6.41,82.64,coffee,3.33
39.28,31.79,38.74,21.95,57.75,6.13,102.23,coffee,2.85
20.09,33.34,39.26,23.33,69.32,6.26,117.05,coffee,2.41
34.05,35.96,27.11,24.25,62.88,5.55,81.6,coffee,2.62
39.14,40.01,33.65,21.66,54.18,5.87,82.19,coffee,2.72
21.05,45.35,33.33,24.58,67.01,5.71,99.44,coffee,2.66
29.45,47.6,29.31,23.42,62.16,5.8,68.2,coffee,2.18
33.03,44.77,31.31,23.16,57.9,6.21,71.95,coffee,2.6
37.8,35.75,32.36,18.46,52.23,6.02,76.06,coffee,1.84
36.71,30.29,32.58,20.7,50.39,5.62,84.82,coffee,2.87
29.86,38.09,35.62,22.76,50.2,5.96,117.81,coffee,4.16
30.38,43.55,31.24,24.19,65.46,6.02,118.56,coffee,3.08
22.51,30.34,40.4,24.46,52.4,5.77,61.05,coffee,3.32
25.87,45.46,35.36,20.78,57.43,5.5,77.99,coffee,2.05
32.93,49.48,41.94,18.19,67.97,6.28,106.82,coffee,0.8
